activity,spot_type,spot_date
T1.1,MS1.1,6
T1.1,MS1.2,18
T1.3,MS1.3,36
T2.1,MS2.1,13
T2.2,MS2.2,13
T2.4,MS2.3,22
T2.5,MS2.4,28
T3.1,MS3.1,8
T3.2,MS3.2,30
T3.3,MS3.3,33
T4.1,MS4.1,5
T4.2,MS4.2,9
T4.3,MS4.3,10
T4.4,MS4.4,18
T4.4,MS4.5,36
T5.1,MS5.1,3
T5.2,MS5.2,3
T5.3,MS5.3,12
T5.4,MS5.4,8
T5.5,MS5.5,30
T5.6,MS5.6,36
T6.1,MS6.1,11
T6.2,MS6.2,11
T6.3,MS6.3,23
T6.4,MS6.4,26
T6.5,MS6.5,30
T7.1,MS7.1,36
